125,Moksha,mordovo moksha,mokcha,,200000,54.1817,43.2751,2
126,Western Armenian (Middle East),armenio occidental (Oriente Medio),arménien occidental (Moyen-Orient),արևմտահայ,200000,33.884,35.5133,2
127,Western Cham,chamo occidental,cham de l'ouest,,200000,12.0333,105.4333,1
128,Tshangla,changla,tshangla,,193000,27.1275,91.9335,1
129,Thado,chin tado,thado,,191000,24.4521,93.2354,1
130,Gagauz (Bessarabia),gagauso (Besarabia),gagaouze (Bessarabia),,180000,46.0922,28.7951,2
131,Kului,paharí de Kullu,kului,,170770,31.4403,77.1487,2
132,Adi,adi,adi,,170000,28.3527,95.2294,1
133,Lhota,lota,lhota,,170000,26.1603,94.3725,1
134,Nyishi,nisi,nyishi,,170000,27.5277,93.0981,1
135,Ngäbere (Panama),guaymí (Panamá),ngäbere (Panama),,169130,9.3395,-82.2428,1
136,Kodagu,codagú,kodagu,,166187,11.6952,75.9375,2
137,Corsican,corso,corse,,160000,42.0819,9.0307,2
138,Dzongkha,butanés,dzongkha,,160000,27.44,89.6731,1
139,Kalmyk,kalmiko,kalmouk,,153602,46.2026,45.8239,2
140,Lak,laco,lak,,153373,42.0125,47.2521,1
141,Asturian-Leonese,astur-leonés,asturien-léonais,astur-leonés,150000,42.7954,-5.6689,2
142,Latgalian,letón,latgalien,,150000,56.1822,27.1362,1
143,Provençal,provenzal,provençal,provençau,150000,43.5485,6.1083,3
144,Rabha,rabha,rabha,,150000,25.9284,90.9777,1
145,Tamzabit,tumzabí,tamzabit,,150000,32.4816,3.6694,1
146,Sherpa,sherpa,sherpa,,143693,27.739,86.839,1
147,Tangkhul,tangkhul,tangkhul,,142000,25.0358,94.4824,1
148,Q'aanjob'al,canjobalés,q’aanjob'al,,139830,15.6019,-91.4441,1
149,Badaga,badaga,badaga,,134514,11.3642,76.5266,2
150,Angami,angami,angami,,132000,25.7553,94.1308,1
151,Laz,laz,laze,,130000,41.2736,41.2646,2
152,Tabasaran,tabasarano,tabassaran,,128391,41.8081,47.9882,1
153,Chambeali,chameali,chambeali,,126589,32.9072,76.5307,2
154,Abkhaz,abjaso,abkhaze,,125000,43.133,40.8471,1
155,Phom,phom,phom,,123000,26.7799,94.9493,1
156,Kolami,colami,kolami,,121855,20.5093,78.1787,2
157,Navajo,navajo,navajo,,120000,35.8044,-108.475,1
158,Sassarese,sasarés,sassarien,,120000,40.6139,8.6132,2
159,Tamahaq (Algeria),tamahaq (Argelia),tamahaq (Algérie),,120000,22.8369,5.5371,1
160,Konda,conda-dora,konda,,118597,18.2763,82.9385,2
161,Sierra Totonac,totonacano de Sierra,totonaque de la Sierra,,118367,20.2461,-97.6586,3
162,Jaunsari,jaunsari,jaunsari,,114733,30.4859,78.0908,2
163,Dimasa,dimasa,dimasa,,112000,24.7368,92.9003,1
164,Ladakhi,ladakhi,ladakhi,,105000,34.0617,77.5909,1
165,Salar,salar,salar,,104503,36.2752,102.4584,1
166,Simi,simí,simi,,104000,25.9777,94.5922,1
167,Phurhepecha,purépecha,purepecha,,102988,19.3111,-102.041,1
168,Crimean Tatar (Crimea),tártaro crimeano (Crimea),tatar de Crimée (Crimée),,100000,45.3212,34.3212,3
169,Dagur (Nonni),daguro (Nonni),dagour (Nonni),,100000,47.9163,124.1235,2
170,Francoprovençal,francoprovenzal,francoprovençal,,100000,45.7828,6.9982,2
171,Gallurese,sardo galurés,gallurien,,100000,40.8802,9.4482,2
172,Mapuche (Argentina),mapuche (Argentina),mapuche (Argentine),,100000,-40.0791,-71.0156,3
173,Mehri,mahri,mehri,,100000,16.5993,52.8057,2
174,Miskito (Nicaragua),misquito (Nicaragua),miskito (Nicaragua),,100000,12.4001,-83.7332,1
175,Ordos,ordoso,ordos,,100000,39.1641,108.1054,2
176,Quechua of Northern Bolivia,quechua boliviano septentrional,quechua bolivien du nord,,100000,-15.3649,-69.0518,1
177,Suba,suba,suba,,100000,-0.9942,34.519,1
178,Garífuna (Honduras),garífuna (Honduras),garifuna (Honduras),,98000,15.6754,-88.1476,1
179,Embera (Colombia),embera  (Colombia),embera (Colombie),,95000,6.1624,-76.8383,1
180,Kabui,kabui,kabui,,95000,24.7218,93.6584,1
181,Shughni,chugní,shughni,,95000,37.4879,71.5374,1
182,Permyak,permiaco,permiak,,94328,59.204,54.5361,2
183,Poqomchi',Poqomchí,poqomchi',,92941,15.3757,-90.4288,1
184,Yimchungru,yimchungru,yimchungru,,92000,25.9629,94.9713,1
185,Nogay (Caucasus),nogái (Cáucaso),nogaï (Caucase),,90020,43.8028,46.2744,2
186,Heiban,heibán,heiban,,90000,10.8575,30.2371,1
187,Quichua (Cañar and Azuay),quichua (Cañar y Azuay),quichua (Cañar et Azuay),,90000,-2.6577,-78.8378,3
188,Mezquital Otomí,otomí del valle de Mezquital,otomí de Mezquital,,88789,20.4831,-99.217,2
189,Eastern Mazahua,mazahua oriental,mazahua oriental,,88001,19.7129,-99.9515,2
190,Burushaski,buruchaski,bourouchaski,,87000,35.909,74.2153,1
191,Central Otomí,otomí central,otomí central,,84593,19.4661,-99.5944,2
192,Chokri,chokrí,chokri,,84000,25.8691,94.7131,1
193,Sangtam,sangtam,sangtam,,84000,26.6032,94.9603,1
194,Ixil (Guatemala),ijilo (Guatemala),ixil (Guatemala),,83574,15.4849,-91.0358,1
195,Achi',achí,achi',,82640,15.0845,-90.4888,1
196,Yem,yemsa,yem,,81613,7.6347,37.3205,1
197,Mao,mao,mao,,81000,25.5027,94.2681,1
198,Arbëresh,arberés,arbërerisht,arbrisht,80000,40.9321,14.8645,2
199,Lari,lari,lari,,80000,27.8585,54.8547,2
200,Páez,páez,páez,,80000,2.8237,-76.3117,2
201,Quechua of Santiago del Estero,quechua de Santiago del Estero,quechua de Santiago del Estero,,80000,-26.7848,-63.6767,2
202,Svan,svan,svane,,80000,43.0207,42.3193,2
203,Tai Daeng,taidaén,tai daeng,,80000,19.8833,104.6166,1
204,Taznatit,taznatit,taznatit,,80000,29.3413,0.3955,3
205,Razihi,razihi,razihi,,75000,16.8834,43.2655,2
206,Wakhi,vakí,wakhi,,75000,37.1603,74.9047,2
207,Bishnupriya Manipuri Creole,manipurí,créole bishnupriya manipuri,,72899,24.297,92.4499,1
208,Acheron,acheron,acheron,,70000,10.809,30.2453,3
209,Maori,maorí,maori,,70000,-38.4105,177.3632,1
210,Tai Neua,tainuá,tai nüa,,70000,20.5166,104.3166,1
211,Bhadravahi,bhadri,bhadravahi,,66918,33.5413,76.333,2
212,Kinnauri,kinaurí,kinnauri,,65097,31.541,78.3764,2
213,Gallo-Sicilian,galo-siciliano,gallo-sicilien,,65000,38.0167,14.5994,2
214,Kurux (Bangladesh),kuruj (Bangladesh),kurux (Bangladesh),,65000,25.8196,88.9672,1
215,Tz'utujil,zutuguilés,tz’utujil,,63237,14.6394,-91.2301,2
216,Chamorro,chamorro,chamorro,,62500,13.4323,144.7338,1
217,Ashaninka (Peru),asháninca,ashaninka (Pérou),,62468,-10.6929,-74.3444,1
218,Chang,chang,chang,,62000,26.2934,94.9493,1
219,Kuna (Panama),kuna (Panamá),kuna (Panama),,61703,9.5983,-79.6334,1
220,Churahi,churahi,churahi,,61199,33.1835,76.5747,2
221,Nruanghmei,rongmei,rongmei,,61000,24.9661,93.5375,1
222,Rengma,rengma,Rengma,,61000,25.958,94.2462,1
223,Faroese,faroés,féroïen,,60000,62.0112,-6.7785,1
224,Northern Tujia,tujia septentrional,tujia du nord,,60000,28.828,109.5904,3
225,Torwali,torvalí,torwali,,60000,35.5833,72.5,2
226,Chuj (Guatemala),chuj (Guatemala),chuj (Guatemala),,59048,15.8259,-91.4783,1
227,Kachari,kachari,kachari,,59000,25.2844,93.2189,2
228,Scottish Gaelic,gaélico escocés,gaélique écossais,,58552,58.1011,-6.7675,2
229,Sierra de Puebla Náhuatl,nahua de la sierra de Puebla,náhuatl de la Sierra de Puebla,,57189,19.6223,-97.8149,2
230,Limonese Creole,criollo limonense,créole de Limón,mekaytelyuw,55000,9.9916,-83.0316,2
231,Kashubian,casubio,kachoube,,53000,54.2267,18.1713,3
232,Khakas,jacaso,khakasse,,52217,53.7746,90.3735,2
233,Parji,duruwa,parji,,51216,18.5629,82.8039,4
234,Arvanitika,arvanitika,arvanitika,arbërisht,50000,38.1863,23.6096,3
235,Buryat (Cis-Baikal),buriato (cisbaikálico),bouriate (Cis-Baïkalie),,50000,52.7961,104.8809,3
236,Buryat (Manchuria),buriato (Manchuria),bouriate (Mandchourie),,50000,49.8096,119.7509,2
237,Cuona Menba,monpa de Cuona,cuona menba,,50000,26.8279,95.3623,1
238,Eastern Cham,chamo oriental,cham de l'est,,50000,10.7833,108.0833,2
239,Hmar,hmar,hmar,,50000,24.577,93.3178,1
240,Huzhu Monguor,monguor de Huzhu,monguor de Huzhu,,50000,36.7608,102.4255,3
241,Paite,chin paite,paite,,50000,24.1968,93.3563,1
242,Quichua (Imbabura),quichua (Imbabura),quichua (Imbabura),,50000,0.1757,-78.2006,2
243,Soqotri,soqotrí,soqotri,,50000,12.5331,53.767,3
244,Southern Altay,altái meridional,altaï méridional,,50000,51.069,86.5942,2
245,Transylvanian Saxon,sajón de Transilvania,saxon transylvanien,,50000,46.214,24.2413,3
